run,best_epoch mean,best_epoch std,best_test_accuracy mean,best_test_accuracy std,best_test_loss mean,best_test_loss std,best_test_precision mean,best_test_precision std,best_test_recall mean,best_test_recall std,best_train_accuracy mean,best_train_accuracy std,best_train_loss mean,best_train_loss std
relu-v1-normal-wd=0,-1.0,0.0,0.8793,0.0,1.289172996998737,0.0,0.8777691606235185,0.0,0.8778619063108211,0.0,0.88202,0.0,1.26433033983321,0.0
relu-v1-normal-wd=1e-3,-1.0,0.0,0.9255,0.0,0.29345073974674474,0.0,0.9246533690496561,0.0,0.924339741834396,0.0,0.93078,0.0,0.27589500399289985,0.0
relu-v1-ku-wd=1-force,-1.0,0.0,0.6344,0.0,1.6158594851952046,0.0,0.7647237209428234,0.0,0.6367921714445127,0.0,0.6383,0.0,1.6329481049038097,0.0
relu-v1-ku-wd=1e-5,-1.0,0.0,0.9257,0.0,0.2684482457063794,0.0,0.9247291642425264,0.0,0.9245547877777472,0.0,0.93152,0.0,0.24578845387692316,0.0
relu-v1-normal-wd=1e-4,-1.0,0.0,0.9248,0.0,0.29565803673207325,0.0,0.9238623822910712,0.0,0.923708755702106,0.0,0.93874,0.0,0.23949309913522346,0.0
relu-v1-ku-wd=1,-1.0,0.0,0.6237,0.0,1.6716637303866446,0.0,nan,nan,0.6255827714312668,0.0,0.62912,0.0,1.6859218794555217,0.0
relu-v1-ku-wd=1e-1,-1.0,0.0,0.8988,0.0,0.6329472422132909,0.0,0.8980000041393665,0.0,0.8973850105554467,0.0,0.89134,0.0,0.6577052617721667,0.0
relu-v1-normal-wd=1e-5,-1.0,0.0,0.9213,0.0,0.3467243528523484,0.0,0.9204272255844934,0.0,0.9202242184172464,0.0,0.93904,0.0,0.24722276284003927,0.0
relu-v1-ku-wd=1e-3,-1.0,0.0,0.9241,0.0,0.2907345252555807,0.0,0.9232212370404433,0.0,0.9230122646022278,0.0,0.92644,0.0,0.2818278985517702,0.0
relu-v1-ku-wd=1e-4,-1.0,0.0,0.9257,0.0,0.2713124350634831,0.0,0.9247567058188361,0.0,0.9245688573815425,0.0,0.93132,0.0,0.24969078466926237,0.0
relu-v1-normal-wd=1,-1.0,0.0,0.6302,0.0,1.5488369781974005,0.0,0.7535724053888863,0.0,0.6234059590709872,0.0,0.63326,0.0,1.5705331744001758,0.0
relu-v1-ku-wd=1e-4-force,-1.0,0.0,0.9257,0.0,0.2713124350634831,0.0,0.9247567058188361,0.0,0.9245688573815425,0.0,0.93132,0.0,0.24969078466926237,0.0
relu-v1-ku-wd=1e-2,-1.0,0.0,0.9181,0.0,0.3684538645828298,0.0,0.9171726534344262,0.0,0.9170381081263054,0.0,0.91692,0.0,0.3768011621398051,0.0
relu-v1-ku-wd=0,-1.0,0.0,0.9257,0.0,0.2681148652061459,0.0,0.9247291642425264,0.0,0.9245547877777472,0.0,0.93148,0.0,0.24533645661864378,0.0
